setting,sensitivity_seed_index,sensitivity_seed,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_synthetic_utility_mean,selected_synthetic_utility_sd,selected_synthetic_utility_ci95,selected_synthetic_utility_median,selected_synthetic_utility_q05,selected_synthetic_utility_q95,selected_traceability_mean,selected_traceability_sd,selected_traceability_ci95,selected_traceability_median,selected_traceability_q05,selected_traceability_q95,selected_controllability_mean,selected_controllability_sd,selected_controllability_ci95,selected_controllability_median,selected_controllability_q05,selected_controllability_q95,cognitive_load_mean,cognitive_load_sd,cognitive_load_ci95,cognitive_load_median,cognitive_load_q05,cognitive_load_q95,low_reliability_verified_claim_proportion_mean,low_reliability_verified_claim_proportion_sd,low_reliability_verified_claim_proportion_ci95,low_reliability_verified_claim_proportion_median,low_reliability_verified_claim_proportion_q05,low_reliability_verified_claim_proportion_q95,non_verified_linked_claim_ratio_mean,non_verified_linked_claim_ratio_sd,non_verified_linked_claim_ratio_ci95,non_verified_linked_claim_ratio_median,non_verified_linked_claim_ratio_q05,non_verified_linked_claim_ratio_q95,selected_risk_penalty_mean,selected_risk_penalty_sd,selected_risk_penalty_ci95,selected_risk_penalty_median,selected_risk_penalty_q05,selected_risk_penalty_q95
high_critique_rate,2,20262947,500,0.644715,0.034058,0.002985,0.646040,0.590251,0.700663,0.631564,0.062093,0.005443,0.634291,0.519580,0.727866,0.686106,0.090409,0.007925,0.686364,0.544667,0.842500,0.840863,0.020298,0.001779,0.836116,0.812182,0.870709,0.730845,0.094597,0.008292,0.732605,0.580352,0.880640,0.102596,0.069435,0.006086,0.095238,0.000000,0.230769,0.460697,0.116777,0.010236,0.465116,0.250000,0.642857,0.525949,0.150874,0.013225,0.504914,0.323463,0.794626
strict_gate,2,20262947,500,0.648530,0.034819,0.003052,0.649127,0.591215,0.705699,0.631205,0.061577,0.005397,0.632920,0.525535,0.727866,0.686278,0.091206,0.007995,0.686364,0.544667,0.842500,0.873453,0.008300,0.000728,0.873569,0.859034,0.886990,0.723394,0.092960,0.008148,0.723036,0.572201,0.869554,0.103156,0.068445,0.005999,0.095238,0.000000,0.227273,0.460136,0.117125,0.010266,0.465116,0.250000,0.650000,0.526704,0.151596,0.013288,0.506058,0.319609,0.795099
low_evidence,3,20262984,500,0.649889,0.033226,0.002912,0.648537,0.596530,0.705799,0.630233,0.062790,0.005504,0.633475,0.518771,0.726965,0.712785,0.092942,0.008147,0.714444,0.561667,0.864615,0.840400,0.020268,0.001777,0.836991,0.811631,0.870591,0.714967,0.092107,0.008074,0.716704,0.561585,0.855976,0.161449,0.083481,0.007317,0.156250,0.034483,0.300000,0.401188,0.115698,0.010141,0.400000,0.200000,0.586207,0.514384,0.151120,0.013246,0.489374,0.315841,0.799603
selected,3,20262984,500,0.642243,0.033164,0.002907,0.642303,0.589699,0.697104,0.629754,0.063355,0.005553,0.633489,0.518543,0.727880,0.689564,0.086728,0.007602,0.693103,0.539355,0.831111,0.840641,0.020989,0.001840,0.835927,0.810804,0.871517,0.724855,0.091851,0.008051,0.723233,0.580042,0.869029,0.103100,0.069614,0.006102,0.095238,0.000000,0.235294,0.462769,0.108801,0.009537,0.461538,0.277778,0.647059,0.515326,0.144755,0.012688,0.501022,0.315591,0.776839
high_evidence,3,20262984,500,0.633011,0.033028,0.002895,0.632567,0.580475,0.687734,0.630418,0.061795,0.005417,0.633475,0.526532,0.726965,0.663320,0.090660,0.007947,0.665333,0.520000,0.807059,0.840780,0.020740,0.001818,0.837709,0.811617,0.872136,0.731488,0.093949,0.008235,0.735532,0.575168,0.876194,0.101922,0.072469,0.006352,0.090909,0.000000,0.222222,0.524373,0.116543,0.010215,0.529412,0.312500,0.714286,0.527882,0.145264,0.012733,0.506844,0.336968,0.800247
low_critique_rate,3,20262984,500,0.636007,0.034031,0.002983,0.635832,0.581987,0.689262,0.628440,0.064127,0.005621,0.631056,0.517361,0.727866,0.691655,0.084803,0.007433,0.693103,0.545946,0.832000,0.840641,0.020989,0.001840,0.835927,0.810804,0.871517,0.707780,0.089770,0.007869,0.705549,0.568891,0.847661,0.104329,0.071007,0.006224,0.096774,0.000000,0.238095,0.461469,0.108939,0.009549,0.461538,0.272727,0.645161,0.521387,0.145656,0.012767,0.508033,0.319116,0.784839
high_critique_rate,3,20262984,500,0.644966,0.033013,0.002894,0.644557,0.590650,0.697430,0.629535,0.063792,0.005592,0.632770,0.517968,0.727880,0.690170,0.084163,0.007377,0.693000,0.545946,0.830625,0.840641,0.020989,0.001840,0.835927,0.810804,0.871517,0.732791,0.093198,0.008169,0.731485,0.587633,0.876049,0.102704,0.068222,0.005980,0.096774,0.000000,0.227273,0.463151,0.107523,0.009425,0.461538,0.277778,0.642857,0.517006,0.146999,0.012885,0.501244,0.315591,0.790589
strict_gate,3,20262984,500,0.648801,0.033392,0.002927,0.649143,0.593458,0.702811,0.629754,0.063355,0.005553,0.633489,0.518543,0.727880,0.689564,0.086728,0.007602,0.693103,0.539355,0.831111,0.873231,0.008770,0.000769,0.873499,0.859011,0.887326,0.724855,0.091851,0.008051,0.723233,0.580042,0.869029,0.103100,0.069614,0.006102,0.095238,0.000000,0.235294,0.462769,0.108801,0.009537,0.461538,0.277778,0.647059,0.514926,0.144775,0.012690,0.500628,0.315591,0.776839
low_evidence,4,20263021,500,0.648502,0.033604,0.002946,0.648417,0.596784,0.703274,0.628206,0.063485,0.005565,0.630015,0.516565,0.727880,0.713704,0.088570,0.007763,0.712500,0.570000,0.854737,0.840349,0.020634,0.001809,0.837422,0.811024,0.871188,0.714436,0.094089,0.008247,0.715047,0.559514,0.861803,0.157236,0.083230,0.007295,0.150000,0.038462,0.304348,0.405145,0.111732,0.009794,0.411765,0.222222,0.580645,0.516263,0.147109,0.012895,0.497701,0.314309,0.781559
selected,4,20263021,500,0.641435,0.033454,0.002932,0.641214,0.588850,0.696743,0.631306,0.062905,0.005514,0.634838,0.516680,0.726779,0.684352,0.092044,0.008068,0.688000,0.535833,0.827500,0.840281,0.020927,0.001834,0.836007,0.809997,0.871110,0.724702,0.091842,0.008050,0.724444,0.577334,0.866790,0.098907,0.068132,0.005972,0.090909,0.000000,0.222222,0.465639,0.123985,0.010868,0.466667,0.263158,0.666667,0.528929,0.144105,0.012631,0.514584,0.324094,0.788440
high_evidence,4,20263021,500,0.634136,0.033389,0.002927,0.634510,0.575140,0.686061,0.630423,0.062075,0.005441,0.632491,0.523854,0.727866,0.665122,0.086727,0.007602,0.661212,0.521176,0.810000,0.841092,0.020654,0.001810,0.838041,0.811920,0.872385,0.733451,0.091834,0.008050,0.734366,0.588242,0.874920,0.106009,0.075282,0.006599,0.095238,0.000000,0.238095,0.522357,0.111047,0.009734,0.523810,0.333333,0.708333,0.534435,0.151897,0.013314,0.512579,0.323967,0.815007
low_critique_rate,4,20263021,500,0.635202,0.034198,0.002998,0.633828,0.580744,0.689628,0.631143,0.062925,0.005516,0.635468,0.517007,0.727245,0.685510,0.092571,0.008114,0.688276,0.534857,0.832000,0.840281,0.020927,0.001834,0.836007,0.809997,0.871110,0.706802,0.090162,0.007903,0.705184,0.551047,0.849107,0.098588,0.068420,0.005997,0.090909,0.000000,0.222222,0.464621,0.126542,0.011092,0.466667,0.258065,0.666667,0.530665,0.144336,0.012652,0.516033,0.327061,0.795191
high_critique_rate,4,20263021,500,0.644036,0.033235,0.002913,0.644091,0.593097,0.698742,0.631926,0.062600,0.005487,0.634838,0.517776,0.727866,0.683910,0.091386,0.008010,0.686364,0.536000,0.824571,0.840281,0.020927,0.001834,0.836007,0.809997,0.871110,0.732079,0.093493,0.008195,0.734582,0.583104,0.876402,0.098661,0.068526,0.006007,0.090909,0.000000,0.225806,0.467349,0.124379,0.010902,0.470588,0.266667,0.666667,0.528527,0.145577,0.012760,0.512579,0.324971,0.789745
strict_gate,4,20263021,500,0.647983,0.033544,0.002940,0.646695,0.596721,0.702952,0.631306,0.062905,0.005514,0.634838,0.516680,0.726779,0.684352,0.092044,0.008068,0.688000,0.535833,0.827500,0.872871,0.008979,0.000787,0.873150,0.857703,0.887617,0.724702,0.091842,0.008050,0.724444,0.577334,0.866790,0.098907,0.068132,0.005972,0.090909,0.000000,0.222222,0.465639,0.123985,0.010868,0.466667,0.263158,0.666667,0.528625,0.144109,0.012632,0.514584,0.324094,0.788440
low_evidence,5,20263058,500,0.648266,0.033089,0.002900,0.647692,0.592984,0.702035,0.628170,0.063460,0.005563,0.630015,0.518726,0.726779,0.709325,0.087149,0.007639,0.711892,0.568889,0.846957,0.841377,0.020390,0.001787,0.839332,0.811220,0.871957,0.715890,0.091759,0.008043,0.712893,0.569453,0.857250,0.157544,0.087960,0.007710,0.150000,0.000000,0.315789,0.406793,0.112396,0.009852,0.400000,0.233333,0.588235,0.520602,0.148293,0.012998,0.502513,0.313084,0.787656
selected,5,20263058,500,0.641454,0.032568,0.002855,0.641040,0.586831,0.694810,0.629425,0.063272,0.005546,0.632770,0.516680,0.726965,0.687687,0.088420,0.007750,0.687826,0.540000,0.832000,0.841111,0.020080,0.001760,0.837747,0.811944,0.871345,0.724075,0.091746,0.008042,0.721952,0.573504,0.867456,0.103618,0.069335,0.006077,0.100000,0.000000,0.222222,0.461684,0.116394,0.010202,0.458333,0.266667,0.650000,0.525171,0.145432,0.012748,0.500097,0.323207,0.792063
high_evidence,5,20263058,500,0.632603,0.034156,0.002994,0.632681,0.577126,0.688885,0.628735,0.062318,0.005462,0.631492,0.518726,0.726779,0.662627,0.089555,0.007850,0.658182,0.521818,0.813913,0.840702,0.020813,0.001824,0.837315,0.812355,0.872549,0.732266,0.093651,0.008209,0.733660,0.578319,0.869310,0.101237,0.072802,0.006381,0.090909,0.000000,0.225806,0.522283,0.114500,0.010036,0.526316,0.312500,0.692308,0.527430,0.150816,0.013220,0.503742,0.326309,0.810957
low_critique_rate,5,20263058,500,0.635179,0.032982,0.002891,0.634924,0.579911,0.690871,0.628381,0.063682,0.005582,0.632569,0.515131,0.726699,0.689479,0.087498,0.007670,0.689231,0.542308,0.832000,0.841111,0.020080,0.001760,0.837747,0.811944,0.871345,0.706689,0.090448,0.007928,0.708273,0.566676,0.851048,0.103246,0.069218,0.006067,0.100000,0.000000,0.222222,0.460086,0.116437,0.010206,0.454545,0.263158,0.648649,0.531490,0.146729,0.012861,0.508097,0.326314,0.796419
high_critique_rate,5,20263058,500,0.644031,0.032244,0.002826,0.643944,0.589485,0.697740,0.629693,0.063217,0.005541,0.632920,0.517007,0.726965,0.687424,0.088375,0.007746,0.686667,0.540000,0.832000,0.841111,0.020080,0.001760,0.837747,0.811944,0.871345,0.731102,0.093425,0.008189,0.729802,0.581545,0.880405,0.103217,0.068695,0.006021,0.100000,0.000000,0.218750,0.461429,0.115250,0.010102,0.459459,0.266667,0.648649,0.524590,0.145521,0.012756,0.500915,0.322447,0.792063
strict_gate,5,20263058,500,0.648013,0.032641,0.002861,0.646612,0.593579,0.701981,0.629425,0.063272,0.005546,0.632770,0.516680,0.726965,0.687687,0.088420,0.007750,0.687826,0.540000,0.832000,0.873701,0.008743,0.000766,0.873742,0.859768,0.888397,0.724075,0.091746,0.008042,0.721952,0.573504,0.867456,0.103618,0.069335,0.006077,0.100000,0.000000,0.222222,0.461684,0.116394,0.010202,0.458333,0.266667,0.650000,0.524755,0.145384,0.012743,0.500097,0.323207,0.792063
low_evidence,6,20263095,500,0.648740,0.033612,0.002946,0.646640,0.595307,0.702767,0.629055,0.063732,0.005586,0.631056,0.515492,0.726779,0.708381,0.089763,0.007868,0.709286,0.561111,0.862000,0.840910,0.020789,0.001822,0.836830,0.811711,0.872610,0.715692,0.090845,0.007963,0.716274,0.566779,0.856727,0.164867,0.082562,0.007237,0.153846,0.043478,0.312500,0.402987,0.110848,0.009716,0.400000,0.214286,0.590909,0.518076,0.147013,0.012886,0.502406,0.313745,0.796097
selected,6,20263095,500,0.641994,0.033513,0.002938,0.640993,0.588864,0.698965,0.631327,0.063092,0.005530,0.634791,0.518543,0.729808,0.686672,0.090882,0.007966,0.689412,0.540000,0.837143,0.840788,0.020933,0.001835,0.836968,0.810720,0.872436,0.722620,0.093500,0.008196,0.720251,0.572084,0.871348,0.104152,0.069509,0.006093,0.096774,0.000000,0.230769,0.458354,0.114090,0.010000,0.461538,0.266667,0.645161,0.524647,0.148877,0.013050,0.505979,0.324262,0.797251
high_evidence,6,20263095,500,0.633669,0.031579,0.002768,0.633157,0.580175,0.686164,0.630702,0.063285,0.005547,0.634291,0.518726,0.727880,0.661217,0.085306,0.007477,0.662000,0.521818,0.799259,0.841325,0.020543,0.001801,0.836876,0.810918,0.871583,0.731689,0.092452,0.008104,0.731485,0.585435,0.875293,0.103291,0.067832,0.005946,0.095238,0.000000,0.230769,0.517752,0.108708,0.009529,0.517241,0.347826,0.692308,0.536872,0.152439,0.013362,0.514236,0.329309,0.816371
low_critique_rate,6,20263095,500,0.635937,0.034276,0.003004,0.634626,0.580369,0.696327,0.631239,0.063142,0.005535,0.634531,0.518726,0.729808,0.687328,0.090414,0.007925,0.689524,0.539459,0.837647,0.840788,0.020933,0.001835,0.836968,0.810720,0.872436,0.705416,0.090450,0.007928,0.703707,0.563860,0.850870,0.105694,0.070094,0.006144,0.096774,0.000000,0.238095,0.457822,0.113233,0.009925,0.461538,0.266667,0.636364,0.526336,0.148420,0.013010,0.508517,0.325534,0.797251
high_critique_rate,6,20263095,500,0.644977,0.033208,0.002911,0.643554,0.589862,0.702772,0.631242,0.062931,0.005516,0.634291,0.518543,0.729808,0.686901,0.090280,0.007913,0.689524,0.540000,0.835385,0.840788,0.020933,0.001835,0.836968,0.810720,0.872436,0.730797,0.094325,0.008268,0.730233,0.584000,0.881845,0.103965,0.069872,0.006125,0.095238,0.000000,0.238095,0.458077,0.113587,0.009956,0.461538,0.266667,0.645161,0.523244,0.148558,0.013022,0.504807,0.324262,0.790939
strict_gate,6,20263095,500,0.648542,0.033725,0.002956,0.647948,0.593050,0.706135,0.631327,0.063092,0.005530,0.634791,0.518543,0.729808,0.686672,0.090882,0.007966,0.689412,0.540000,0.837143,0.873378,0.009236,0.000810,0.872869,0.858593,0.887999,0.722620,0.093500,0.008196,0.720251,0.572084,0.871348,0.104152,0.069509,0.006093,0.096774,0.000000,0.230769,0.458354,0.114090,0.010000,0.461538,0.266667,0.645161,0.524343,0.148919,0.013053,0.504807,0.323967,0.797251
low_evidence,7,20263132,500,0.648707,0.034090,0.002988,0.649772,0.590190,0.702632,0.628343,0.064091,0.005618,0.632383,0.515131,0.726965,0.710497,0.095259,0.008350,0.718378,0.544286,0.851765,0.840807,0.020707,0.001815,0.836540,0.812328,0.870028,0.715048,0.092374,0.008097,0.712788,0.565092,0.857660,0.165245,0.085220,0.007470,0.160000,0.043478,0.315789,0.401718,0.117494,0.010299,0.400000,0.200000,0.600000,0.515572,0.143925,0.012616,0.498554,0.311736,0.781559
selected,7,20263132,500,0.640824,0.032599,0.002857,0.641891,0.585104,0.691423,0.629746,0.063229,0.005542,0.633939,0.516589,0.727880,0.685623,0.082172,0.007203,0.686000,0.547097,0.820000,0.840474,0.020482,0.001795,0.837800,0.812404,0.870922,0.723967,0.092770,0.008132,0.723804,0.572084,0.869977,0.099597,0.064771,0.005677,0.090909,0.000000,0.214286,0.465712,0.106348,0.009322,0.466667,0.277778,0.640000,0.519763,0.144797,0.012692,0.495237,0.322834,0.785779
high_evidence,7,20263132,500,0.633879,0.031654,0.002775,0.633452,0.584024,0.686676,0.630948,0.062226,0.005454,0.634791,0.526076,0.727866,0.661843,0.087196,0.007643,0.659167,0.524286,0.805000,0.840801,0.020782,0.001822,0.838908,0.810248,0.871965,0.731720,0.092022,0.008066,0.735240,0.580683,0.879247,0.105911,0.069607,0.006101,0.100000,0.000000,0.222222,0.516625,0.116875,0.010245,0.517241,0.315789,0.695652,0.531267,0.145040,0.012713,0.514376,0.336062,0.807876
low_critique_rate,7,20263132,500,0.634713,0.033160,0.002907,0.635689,0.577230,0.687290,0.628275,0.064238,0.005631,0.633475,0.514725,0.727880,0.688506,0.081521,0.007146,0.688485,0.548571,0.824000,0.840474,0.020482,0.001795,0.837800,0.812404,0.870922,0.706527,0.091310,0.008004,0.705795,0.558194,0.851957,0.100513,0.065122,0.005708,0.093750,0.000000,0.217391,0.462736,0.106423,0.009328,0.461538,0.277778,0.636364,0.521328,0.143703,0.012596,0.500601,0.325870,0.792347
high_critique_rate,7,20263132,500,0.643735,0.032508,0.002849,0.644868,0.586902,0.693626,0.629594,0.063657,0.005580,0.633489,0.516565,0.727880,0.685998,0.081603,0.007153,0.686364,0.548000,0.820000,0.840474,0.020482,0.001795,0.837800,0.812404,0.870922,0.731957,0.093800,0.008222,0.735680,0.579979,0.876971,0.100569,0.065048,0.005702,0.090909,0.000000,0.218750,0.465190,0.106051,0.009296,0.464286,0.277778,0.642857,0.515769,0.144365,0.012654,0.492755,0.320258,0.782714
strict_gate,7,20263132,500,0.647373,0.032713,0.002867,0.649379,0.590254,0.698937,0.629746,0.063229,0.005542,0.633939,0.516589,0.727880,0.685623,0.082172,0.007203,0.686000,0.547097,0.820000,0.873064,0.008837,0.000775,0.872740,0.858818,0.887902,0.723967,0.092770,0.008132,0.723804,0.572084,0.869977,0.099597,0.064771,0.005677,0.090909,0.000000,0.214286,0.465712,0.106348,0.009322,0.466667,0.277778,0.640000,0.519459,0.144795,0.012692,0.495136,0.322441,0.785779
low_evidence,8,20263169,500,0.648346,0.034691,0.003041,0.647111,0.594547,0.705950,0.630326,0.063478,0.005564,0.634447,0.516756,0.726965,0.707175,0.086225,0.007558,0.703636,0.571429,0.847143,0.840842,0.020391,0.001787,0.836187,0.813392,0.871644,0.715482,0.090354,0.007920,0.716421,0.570752,0.858401,0.160232,0.081692,0.007161,0.153846,0.041667,0.291667,0.408427,0.105336,0.009233,0.409091,0.230769,0.571429,0.516917,0.150452,0.013188,0.492242,0.308276,0.794746
selected,8,20263169,500,0.641354,0.032418,0.002842,0.640086,0.587834,0.690254,0.627626,0.065271,0.005721,0.630741,0.518543,0.726965,0.688818,0.089447,0.007840,0.686000,0.547778,0.829091,0.841327,0.020915,0.001833,0.836969,0.810411,0.871915,0.723791,0.092230,0.008084,0.722008,0.579456,0.868014,0.106863,0.071576,0.006274,0.100000,0.000000,0.230769,0.457344,0.118745,0.010408,0.454545,0.250000,0.666667,0.523349,0.149485,0.013103,0.499774,0.313661,0.799508
high_evidence,8,20263169,500,0.634288,0.033402,0.002928,0.633345,0.578699,0.688124,0.631321,0.061275,0.005371,0.635474,0.523564,0.726965,0.661778,0.085218,0.007470,0.656842,0.529286,0.805000,0.840203,0.020644,0.001809,0.835741,0.811338,0.871182,0.733006,0.092443,0.008103,0.732582,0.583104,0.877843,0.104320,0.071959,0.006308,0.100000,0.000000,0.235294,0.517931,0.114668,0.010051,0.523810,0.333333,0.700000,0.528062,0.144188,0.012639,0.505949,0.330040,0.795239
low_critique_rate,8,20263169,500,0.635342,0.033122,0.002903,0.634748,0.582040,0.687913,0.627160,0.065816,0.005769,0.629757,0.516680,0.726965,0.689679,0.090297,0.007915,0.686000,0.546667,0.832381,0.841327,0.020915,0.001833,0.836969,0.810411,0.871915,0.706491,0.090727,0.007953,0.703507,0.561323,0.849997,0.105672,0.070645,0.006192,0.100000,0.000000,0.227273,0.455267,0.119123,0.010442,0.451613,0.250000,0.666667,0.527636,0.150016,0.013149,0.505276,0.319474,0.804272
high_critique_rate,8,20263169,500,0.644175,0.032510,0.002850,0.644019,0.591235,0.695386,0.627979,0.064837,0.005683,0.629757,0.519135,0.726965,0.688447,0.089855,0.007876,0.683871,0.547778,0.832381,0.841327,0.020915,0.001833,0.836969,0.810411,0.871915,0.731362,0.093480,0.008194,0.731485,0.585408,0.875880,0.105168,0.070700,0.006197,0.100000,0.000000,0.227273,0.457231,0.118295,0.010369,0.454545,0.250000,0.666667,0.521924,0.149568,0.013110,0.499346,0.313207,0.799508
strict_gate,8,20263169,500,0.647907,0.032332,0.002834,0.647541,0.595284,0.698726,0.627626,0.065271,0.005721,0.630741,0.518543,0.726965,0.688818,0.089447,0.007840,0.686000,0.547778,0.829091,0.873917,0.009016,0.000790,0.874039,0.858053,0.888020,0.723791,0.092230,0.008084,0.722008,0.579456,0.868014,0.106863,0.071576,0.006274,0.100000,0.000000,0.230769,0.457344,0.118745,0.010408,0.454545,0.250000,0.666667,0.522997,0.149497,0.013104,0.499774,0.313661,0.799508
low_evidence,9,20263206,500,0.649095,0.031513,0.002762,0.651316,0.595831,0.699159,0.629339,0.063665,0.005581,0.631672,0.515840,0.727245,0.711799,0.090128,0.007900,0.712500,0.571667,0.857143,0.840618,0.020015,0.001754,0.836675,0.812289,0.871701,0.715848,0.090662,0.007947,0.712956,0.571944,0.856527,0.159595,0.081298,0.007126,0.157895,0.031250,0.294118,0.405758,0.111805,0.009800,0.409091,0.222222,0.592593,0.518791,0.148114,0.012983,0.503100,0.319786,0.787127
