batch,seed,policy,policy_label,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_synthetic_utility_mean,selected_synthetic_utility_sd,selected_synthetic_utility_ci95,selected_synthetic_utility_median,selected_synthetic_utility_q05,selected_synthetic_utility_q95,selected_oracle_regret_mean,selected_oracle_regret_sd,selected_oracle_regret_ci95,selected_oracle_regret_median,selected_oracle_regret_q05,selected_oracle_regret_q95,oracle_best_hit_mean,oracle_best_hit_sd,oracle_best_hit_ci95,oracle_best_hit_median,oracle_best_hit_q05,oracle_best_hit_q95,oracle_top2_hit_mean,oracle_top2_hit_sd,oracle_top2_hit_ci95,oracle_top2_hit_median,oracle_top2_hit_q05,oracle_top2_hit_q95
3,20261784,direct_llm,Direct-generation proxy,500,0.388008,0.036390,0.003190,0.385906,0.331588,0.447960,0.631623,0.063992,0.005609,0.628977,0.526544,0.736248,0.012365,0.025586,0.002243,0.000000,0.000000,0.071957,0.714000,0.452342,0.039650,1,0,1,0.912000,0.283579,0.024857,1,0,1
3,20261784,evidence_only,Evidence only,500,0.489387,0.037762,0.003310,0.487571,0.429861,0.553878,0.631246,0.065208,0.005716,0.629966,0.521344,0.736248,0.012743,0.028826,0.002527,0.000000,0.000000,0.072958,0.696000,0.460443,0.040360,1,0,1,0.908000,0.289315,0.025360,1,0,1
3,20261784,evidence_role,Evidence + role,500,0.554879,0.036251,0.003178,0.554757,0.493575,0.610502,0.632148,0.063697,0.005583,0.629969,0.525729,0.736248,0.011840,0.026394,0.002314,0.000000,0.000000,0.071230,0.700000,0.458717,0.040208,1,0,1,0.920000,0.271565,0.023804,1,0,1
3,20261784,evidence_critique,Evidence + critique,500,0.540215,0.035485,0.003110,0.538728,0.483984,0.596879,0.632699,0.063104,0.005531,0.629614,0.526700,0.737835,0.011290,0.025433,0.002229,0.000000,0.000000,0.073479,0.698000,0.459585,0.040284,1,0,1,0.910000,0.286468,0.025110,1,0,1
3,20261784,full_framework,Full framework,500,0.643891,0.033632,0.002948,0.642433,0.591576,0.699351,0.634042,0.061895,0.005425,0.631856,0.535540,0.734708,0.009947,0.022666,0.001987,0.000000,0.000000,0.062148,0.724000,0.447464,0.039222,1,0,1,0.924000,0.265264,0.023251,1,0,1
4,20261821,direct_llm,Direct-generation proxy,500,0.383502,0.035682,0.003128,0.382941,0.321622,0.445061,0.624251,0.064514,0.005655,0.623589,0.513451,0.732974,0.010499,0.023820,0.002088,0.000000,0.000000,0.065199,0.716000,0.451388,0.039566,1,0,1,0.934000,0.248531,0.021785,1,0,1
4,20261821,evidence_only,Evidence only,500,0.486657,0.036009,0.003156,0.486948,0.427462,0.545879,0.621829,0.064715,0.005672,0.622060,0.504828,0.730433,0.012921,0.027051,0.002371,0.000000,0.000000,0.074325,0.684000,0.465379,0.040792,1,0,1,0.910000,0.286468,0.025110,1,0,1
4,20261821,evidence_role,Evidence + role,500,0.552889,0.037737,0.003308,0.552919,0.492244,0.614597,0.624097,0.067075,0.005879,0.626215,0.511618,0.734364,0.010653,0.024146,0.002117,0.000000,0.000000,0.065310,0.714000,0.452342,0.039650,1,0,1,0.934000,0.248531,0.021785,1,0,1
4,20261821,evidence_critique,Evidence + critique,500,0.535704,0.033971,0.002978,0.534169,0.479222,0.589880,0.627162,0.064938,0.005692,0.629271,0.518636,0.734364,0.007588,0.019554,0.001714,0.000000,0.000000,0.053643,0.758000,0.428723,0.037579,1,0,1,0.954000,0.209695,0.018381,1,1,1
4,20261821,full_framework,Full framework,500,0.639859,0.034382,0.003014,0.639029,0.581758,0.693365,0.624994,0.065768,0.005765,0.627923,0.512577,0.732974,0.009755,0.021003,0.001841,0.000000,0.000000,0.058788,0.710000,0.454216,0.039814,1,0,1,0.922000,0.268440,0.023530,1,0,1
5,20261858,direct_llm,Direct-generation proxy,500,0.385850,0.034278,0.003005,0.384738,0.329097,0.441431,0.625735,0.057155,0.005010,0.626536,0.527536,0.715170,0.010723,0.023088,0.002024,0.000000,0.000000,0.061363,0.718000,0.450424,0.039481,1,0,1,0.932000,0.251998,0.022089,1,0,1
5,20261858,evidence_only,Evidence only,500,0.486079,0.035648,0.003125,0.481676,0.434477,0.547472,0.622933,0.058804,0.005154,0.622952,0.525219,0.713780,0.013526,0.027762,0.002433,0.000000,0.000000,0.075155,0.674000,0.469217,0.041129,1,0,1,0.910000,0.286468,0.025110,1,0,1
5,20261858,evidence_role,Evidence + role,500,0.548849,0.033401,0.002928,0.547270,0.490208,0.603223,0.621365,0.060170,0.005274,0.624218,0.513420,0.712358,0.015093,0.030922,0.002710,0.000000,0.000000,0.084878,0.676000,0.468469,0.041063,1,0,1,0.906000,0.292121,0.025606,1,0,1
5,20261858,evidence_critique,Evidence + critique,500,0.534948,0.031548,0.002765,0.534756,0.484234,0.588117,0.625997,0.056188,0.004925,0.624171,0.534982,0.716896,0.010462,0.023431,0.002054,0.000000,0.000000,0.067694,0.728000,0.445436,0.039044,1,0,1,0.942000,0.233978,0.020509,1,0,1
5,20261858,full_framework,Full framework,500,0.638025,0.030576,0.002680,0.637711,0.590147,0.688520,0.626674,0.056524,0.004955,0.629522,0.530616,0.713780,0.009785,0.021614,0.001895,0.000000,0.000000,0.060174,0.734000,0.442307,0.038770,1,0,1,0.936000,0.244998,0.021475,1,0,1
6,20261895,direct_llm,Direct-generation proxy,500,0.384946,0.035305,0.003095,0.382280,0.327300,0.444460,0.625126,0.063094,0.005530,0.628322,0.516168,0.728503,0.012501,0.027983,0.002453,0.000000,0.000000,0.071083,0.714000,0.452342,0.039650,1,0,1,0.922000,0.268440,0.023530,1,0,1
6,20261895,evidence_only,Evidence only,500,0.487780,0.036672,0.003214,0.485445,0.428003,0.551536,0.623701,0.062754,0.005501,0.626488,0.514487,0.723872,0.013926,0.030115,0.002640,0.000000,0.000000,0.084913,0.702000,0.457838,0.040131,1,0,1,0.890000,0.313203,0.027453,1,0,1
6,20261895,evidence_role,Evidence + role,500,0.552011,0.035881,0.003145,0.551500,0.494872,0.611094,0.623130,0.063999,0.005610,0.626658,0.508669,0.724315,0.014497,0.029842,0.002616,0.000000,0.000000,0.081822,0.674000,0.469217,0.041129,1,0,1,0.904000,0.294886,0.025848,1,0,1
6,20261895,evidence_critique,Evidence + critique,500,0.536270,0.034704,0.003042,0.536113,0.479950,0.594546,0.627873,0.061828,0.005419,0.628004,0.523346,0.729053,0.009754,0.021809,0.001912,0.000000,0.000000,0.061554,0.726000,0.446456,0.039134,1,0,1,0.932000,0.251998,0.022089,1,0,1
6,20261895,full_framework,Full framework,500,0.641409,0.033113,0.002902,0.640522,0.587605,0.694680,0.627757,0.060365,0.005291,0.629461,0.524376,0.727873,0.009870,0.021980,0.001927,0.000000,0.000000,0.060408,0.732000,0.443361,0.038862,1,0,1,0.942000,0.233978,0.020509,1,0,1
7,20261932,direct_llm,Direct-generation proxy,500,0.386562,0.036252,0.003178,0.384128,0.330901,0.444570,0.623331,0.065333,0.005727,0.623583,0.509959,0.728260,0.014572,0.028913,0.002534,0.000000,0.000000,0.080956,0.678000,0.467711,0.040997,1,0,1,0.904000,0.294886,0.025848,1,0,1
7,20261932,evidence_only,Evidence only,500,0.487978,0.036097,0.003164,0.487550,0.428978,0.549383,0.625091,0.064436,0.005648,0.625531,0.512272,0.727058,0.012813,0.028267,0.002478,0.000000,0.000000,0.076073,0.708000,0.455138,0.039895,1,0,1,0.924000,0.265264,0.023251,1,0,1
7,20261932,evidence_role,Evidence + role,500,0.553868,0.036331,0.003185,0.552244,0.496497,0.616222,0.625492,0.065885,0.005775,0.630612,0.507727,0.729569,0.012412,0.027477,0.002408,0.000000,0.000000,0.078751,0.718000,0.450424,0.039481,1,0,1,0.908000,0.289315,0.025360,1,0,1
7,20261932,evidence_critique,Evidence + critique,500,0.535775,0.034003,0.002980,0.535417,0.476847,0.590070,0.626284,0.064917,0.005690,0.629264,0.516323,0.732322,0.011619,0.024712,0.002166,0.000000,0.000000,0.064880,0.718000,0.450424,0.039481,1,0,1,0.906000,0.292121,0.025606,1,0,1
7,20261932,full_framework,Full framework,500,0.641380,0.033627,0.002948,0.642140,0.583245,0.695214,0.626944,0.064360,0.005641,0.630572,0.512646,0.725305,0.010960,0.024522,0.002149,0.000000,0.000000,0.064436,0.732000,0.443361,0.038862,1,0,1,0.936000,0.244998,0.021475,1,0,1
8,20261969,direct_llm,Direct-generation proxy,500,0.386771,0.034476,0.003022,0.384033,0.335010,0.446951,0.626203,0.061018,0.005348,0.628290,0.522666,0.727114,0.013057,0.028167,0.002469,0.000000,0.000000,0.077887,0.694000,0.461291,0.040434,1,0,1,0.914000,0.280645,0.024600,1,0,1
8,20261969,evidence_only,Evidence only,500,0.486482,0.034316,0.003008,0.484167,0.433253,0.545485,0.625999,0.060929,0.005341,0.627386,0.520051,0.723495,0.013261,0.026457,0.002319,0.000000,0.000000,0.073009,0.676000,0.468469,0.041063,1,0,1,0.906000,0.292121,0.025606,1,0,1
8,20261969,evidence_role,Evidence + role,500,0.552763,0.034949,0.003063,0.550928,0.495792,0.612054,0.626598,0.062027,0.005437,0.629973,0.512426,0.723496,0.012662,0.026325,0.002307,0.000000,0.000000,0.067885,0.698000,0.459585,0.040284,1,0,1,0.916000,0.277666,0.024338,1,0,1
8,20261969,evidence_critique,Evidence + critique,500,0.536726,0.035026,0.003070,0.534107,0.482187,0.595473,0.629425,0.060560,0.005308,0.631592,0.520610,0.725432,0.009835,0.023028,0.002019,0.000000,0.000000,0.063392,0.736000,0.441241,0.038676,1,0,1,0.942000,0.233978,0.020509,1,0,1
8,20261969,full_framework,Full framework,500,0.641044,0.031941,0.002800,0.639526,0.593804,0.698400,0.627879,0.060428,0.005297,0.629431,0.524359,0.723496,0.011381,0.026403,0.002314,0.000000,0.000000,0.075867,0.726000,0.446456,0.039134,1,0,1,0.926000,0.262033,0.022968,1,0,1
9,20262006,direct_llm,Direct-generation proxy,500,0.388104,0.034820,0.003052,0.387603,0.335000,0.447265,0.633151,0.058256,0.005106,0.634426,0.534662,0.722143,0.008359,0.021363,0.001873,0.000000,0.000000,0.052092,0.756000,0.429923,0.037684,1,0,1,0.936000,0.244998,0.021475,1,0,1
9,20262006,evidence_only,Evidence only,500,0.487326,0.035048,0.003072,0.486555,0.430665,0.545417,0.629253,0.058542,0.005131,0.630833,0.530540,0.721105,0.012256,0.026977,0.002365,0.000000,0.000000,0.069545,0.708000,0.455138,0.039895,1,0,1,0.924000,0.265264,0.023251,1,0,1
9,20262006,evidence_role,Evidence + role,500,0.553354,0.035058,0.003073,0.552074,0.495815,0.612056,0.627789,0.058840,0.005158,0.625323,0.537948,0.721267,0.013720,0.027771,0.002434,0.000000,0.000000,0.077869,0.664000,0.472812,0.041444,1,0,1,0.910000,0.286468,0.025110,1,0,1
9,20262006,evidence_critique,Evidence + critique,500,0.537165,0.030664,0.002688,0.535318,0.486424,0.586511,0.631389,0.057902,0.005075,0.631089,0.533544,0.722217,0.010121,0.022551,0.001977,0.000000,0.000000,0.060400,0.728000,0.445436,0.039044,1,0,1,0.922000,0.268440,0.023530,1,0,1
9,20262006,full_framework,Full framework,500,0.643048,0.032254,0.002827,0.642722,0.590383,0.698137,0.631596,0.059858,0.005247,0.634402,0.519955,0.722217,0.009913,0.023441,0.002055,0.000000,0.000000,0.064996,0.742000,0.437972,0.038390,1,0,1,0.926000,0.262033,0.022968,1,0,1
10,20262043,direct_llm,Direct-generation proxy,500,0.387309,0.038911,0.003411,0.385829,0.326487,0.451142,0.629295,0.065404,0.005733,0.633456,0.515233,0.725799,0.010836,0.024694,0.002165,0.000000,0.000000,0.068847,0.716000,0.451388,0.039566,1,0,1,0.924000,0.265264,0.023251,1,0,1
10,20262043,evidence_only,Evidence only,500,0.485082,0.036495,0.003199,0.483979,0.425298,0.544952,0.625864,0.067266,0.005896,0.630217,0.513160,0.724163,0.014266,0.028752,0.002520,0.000000,0.000000,0.086313,0.678000,0.467711,0.040997,1,0,1,0.910000,0.286468,0.025110,1,0,1
10,20262043,evidence_role,Evidence + role,500,0.553528,0.037693,0.003304,0.552570,0.492913,0.614287,0.627858,0.065006,0.005698,0.629774,0.515233,0.723948,0.012272,0.028192,0.002471,0.000000,0.000000,0.073337,0.702000,0.457838,0.040131,1,0,1,0.910000,0.286468,0.025110,1,0,1
10,20262043,evidence_critique,Evidence + critique,500,0.536677,0.034432,0.003018,0.536348,0.478059,0.589993,0.627788,0.067909,0.005953,0.630798,0.509765,0.724047,0.012342,0.028178,0.002470,0.000000,0.000000,0.077209,0.716000,0.451388,0.039566,1,0,1,0.932000,0.251998,0.022089,1,0,1
10,20262043,full_framework,Full framework,500,0.643985,0.033752,0.002959,0.645126,0.584803,0.697482,0.630573,0.064887,0.005688,0.634517,0.515233,0.725799,0.009557,0.019985,0.001752,0.000000,0.000000,0.057760,0.720000,0.449449,0.039396,1,0,1,0.922000,0.268440,0.023530,1,0,1
11,20262080,direct_llm,Direct-generation proxy,500,0.386001,0.038096,0.003339,0.383452,0.327574,0.458917,0.629876,0.066080,0.005792,0.629812,0.516433,0.739431,0.011368,0.023677,0.002075,0.000000,0.000000,0.063725,0.710000,0.454216,0.039814,1,0,1,0.920000,0.271565,0.023804,1,0,1
11,20262080,evidence_only,Evidence only,500,0.489942,0.037094,0.003251,0.486721,0.431434,0.551412,0.626479,0.069250,0.006070,0.627891,0.510442,0.739431,0.014766,0.030869,0.002706,0.000000,0.000000,0.081075,0.684000,0.465379,0.040792,1,0,1,0.906000,0.292121,0.025606,1,0,1
11,20262080,evidence_role,Evidence + role,500,0.553653,0.037261,0.003266,0.553583,0.491722,0.614270,0.628475,0.066226,0.005805,0.625682,0.514223,0.739431,0.012770,0.025814,0.002263,0.000000,0.000000,0.062107,0.688000,0.463774,0.040652,1,0,1,0.928000,0.258747,0.022680,1,0,1
11,20262080,evidence_critique,Evidence + critique,500,0.536901,0.033600,0.002945,0.536572,0.477788,0.590494,0.629590,0.064615,0.005664,0.631180,0.519270,0.738813,0.011655,0.024488,0.002146,0.000000,0.000000,0.068772,0.704000,0.456948,0.040053,1,0,1,0.920000,0.271565,0.023804,1,0,1
11,20262080,full_framework,Full framework,500,0.642310,0.032792,0.002874,0.639893,0.590929,0.696880,0.631339,0.063833,0.005595,0.630659,0.524023,0.739431,0.009906,0.022699,0.001990,0.000000,0.000000,0.066101,0.734000,0.442307,0.038770,1,0,1,0.928000,0.258747,0.022680,1,0,1
12,20262117,direct_llm,Direct-generation proxy,500,0.385073,0.035967,0.003153,0.381482,0.331603,0.444198,0.623014,0.061704,0.005409,0.625946,0.513057,0.719407,0.012920,0.026094,0.002287,0.000000,0.000000,0.074366,0.690000,0.462956,0.040580,1,0,1,0.890000,0.313203,0.027453,1,0,1
12,20262117,evidence_only,Evidence only,500,0.486197,0.034608,0.003034,0.486404,0.432668,0.539432,0.624160,0.062167,0.005449,0.626677,0.516744,0.721110,0.011774,0.026242,0.002300,0.000000,0.000000,0.071379,0.716000,0.451388,0.039566,1,0,1,0.908000,0.289315,0.025360,1,0,1
12,20262117,evidence_role,Evidence + role,500,0.552331,0.036099,0.003164,0.552113,0.491148,0.613737,0.622441,0.063062,0.005528,0.625242,0.509388,0.723229,0.013493,0.027599,0.002419,0.000000,0.000000,0.074062,0.696000,0.460443,0.040360,1,0,1,0.896000,0.305566,0.026784,1,0,1
12,20262117,evidence_critique,Evidence + critique,500,0.532425,0.033424,0.002930,0.531678,0.478377,0.586815,0.624409,0.060597,0.005312,0.625189,0.523776,0.720577,0.011525,0.024425,0.002141,0.000000,0.000000,0.069120,0.692000,0.462129,0.040507,1,0,1,0.910000,0.286468,0.025110,1,0,1
12,20262117,full_framework,Full framework,500,0.641028,0.032877,0.002882,0.640597,0.586166,0.692743,0.627751,0.059871,0.005248,0.631240,0.527629,0.723519,0.008184,0.020853,0.001828,0.000000,0.000000,0.054372,0.774000,0.418658,0.036697,1,0,1,0.926000,0.262033,0.022968,1,0,1
13,20262154,direct_llm,Direct-generation proxy,500,0.383272,0.034382,0.003014,0.381082,0.330639,0.440521,0.623925,0.067178,0.005888,0.624205,0.503816,0.734343,0.011599,0.025222,0.002211,0.000000,0.000000,0.074263,0.706000,0.456048,0.039974,1,0,1,0.912000,0.283579,0.024857,1,0,1
13,20262154,evidence_only,Evidence only,500,0.486675,0.037017,0.003245,0.485355,0.426757,0.550157,0.622165,0.066237,0.005806,0.622281,0.508566,0.732490,0.013360,0.026129,0.002290,0.000000,0.000000,0.076346,0.652000,0.476813,0.041795,1,0,1,0.906000,0.292121,0.025606,1,0,1
13,20262154,evidence_role,Evidence + role,500,0.551287,0.036164,0.003170,0.551763,0.491179,0.608006,0.621844,0.067572,0.005923,0.622221,0.497976,0.731985,0.013681,0.029299,0.002568,0.000000,0.000000,0.074431,0.674000,0.469217,0.041129,1,0,1,0.914000,0.280645,0.024600,1,0,1
13,20262154,evidence_critique,Evidence + critique,500,0.533063,0.033127,0.002904,0.534044,0.475139,0.586729,0.624877,0.066314,0.005813,0.623538,0.512506,0.736093,0.010648,0.023980,0.002102,0.000000,0.000000,0.073781,0.706000,0.456048,0.039974,1,0,1,0.898000,0.302951,0.026555,1,0,1
13,20262154,full_framework,Full framework,500,0.638547,0.033321,0.002921,0.637397,0.587989,0.688885,0.623994,0.066942,0.005868,0.624128,0.508566,0.736093,0.011530,0.025739,0.002256,0.000000,0.000000,0.060741,0.688000,0.463774,0.040652,1,0,1,0.910000,0.286468,0.025110,1,0,1
14,20262191,direct_llm,Direct-generation proxy,500,0.384896,0.034680,0.003040,0.385702,0.331566,0.442772,0.627837,0.063270,0.005546,0.631022,0.518139,0.726419,0.009449,0.023437,0.002054,0.000000,0.000000,0.060900,0.754000,0.431110,0.037788,1,0,1,0.924000,0.265264,0.023251,1,0,1
14,20262191,evidence_only,Evidence only,500,0.486028,0.037125,0.003254,0.485486,0.424669,0.545483,0.623589,0.064397,0.005645,0.626086,0.512911,0.721907,0.013697,0.028343,0.002484,0.000000,0.000000,0.076859,0.698000,0.459585,0.040284,1,0,1,0.906000,0.292121,0.025606,1,0,1
14,20262191,evidence_role,Evidence + role,500,0.552766,0.037156,0.003257,0.553922,0.488412,0.610814,0.625554,0.064868,0.005686,0.630525,0.512911,0.724938,0.011731,0.026673,0.002338,0.000000,0.000000,0.073458,0.706000,0.456048,0.039974,1,0,1,0.916000,0.277666,0.024338,1,0,1
14,20262191,evidence_critique,Evidence + critique,500,0.535184,0.034175,0.002996,0.532386,0.483073,0.596149,0.628174,0.062025,0.005437,0.630579,0.523233,0.724938,0.009112,0.022058,0.001933,0.000000,0.000000,0.052021,0.752000,0.432284,0.037891,1,0,1,0.930000,0.255403,0.022387,1,0,1
14,20262191,full_framework,Full framework,500,0.640976,0.033279,0.002917,0.640455,0.589292,0.694455,0.628078,0.064027,0.005612,0.631620,0.521276,0.727321,0.009207,0.021356,0.001872,0.000000,0.000000,0.056040,0.728000,0.445436,0.039044,1,0,1,0.942000,0.233978,0.020509,1,0,1
15,20262228,direct_llm,Direct-generation proxy,500,0.384062,0.033715,0.002955,0.384618,0.329079,0.438820,0.622936,0.064639,0.005666,0.626736,0.510779,0.720879,0.011443,0.025277,0.002216,0.000000,0.000000,0.066024,0.718000,0.450424,0.039481,1,0,1,0.906000,0.292121,0.025606,1,0,1
15,20262228,evidence_only,Evidence only,500,0.486117,0.035458,0.003108,0.484091,0.430010,0.545024,0.621710,0.065074,0.005704,0.625816,0.507878,0.718125,0.012669,0.025133,0.002203,0.000000,0.000000,0.062045,0.676000,0.468469,0.041063,1,0,1,0.906000,0.292121,0.025606,1,0,1
15,20262228,evidence_role,Evidence + role,500,0.552466,0.035578,0.003119,0.551962,0.493368,0.606915,0.622151,0.063318,0.005550,0.624917,0.516776,0.718125,0.012228,0.024276,0.002128,0.000000,0.000000,0.061733,0.668000,0.471403,0.041320,1,0,1,0.912000,0.283579,0.024857,1,0,1
15,20262228,evidence_critique,Evidence + critique,500,0.532466,0.033719,0.002956,0.532972,0.476616,0.586025,0.622687,0.063002,0.005522,0.625816,0.516888,0.720214,0.011692,0.023793,0.002086,0.000000,0.000000,0.065956,0.698000,0.459585,0.040284,1,0,1,0.896000,0.305566,0.026784,1,0,1
15,20262228,full_framework,Full framework,500,0.640959,0.034580,0.003031,0.642248,0.587655,0.695397,0.624310,0.061873,0.005423,0.627221,0.518289,0.718525,0.010069,0.020962,0.001837,0.000000,0.000000,0.057284,0.708000,0.455138,0.039895,1,0,1,0.924000,0.265264,0.023251,1,0,1
16,20262265,direct_llm,Direct-generation proxy,500,0.384723,0.035671,0.003127,0.384005,0.326655,0.447541,0.623752,0.062226,0.005454,0.625942,0.519282,0.720766,0.013558,0.027403,0.002402,0.000000,0.000000,0.077561,0.676000,0.468469,0.041063,1,0,1,0.898000,0.302951,0.026555,1,0,1
16,20262265,evidence_only,Evidence only,500,0.487484,0.035163,0.003082,0.487808,0.429313,0.548605,0.625087,0.060797,0.005329,0.625836,0.526503,0.721817,0.012223,0.026965,0.002364,0.000000,0.000000,0.073666,0.712000,0.453285,0.039732,1,0,1,0.922000,0.268440,0.023530,1,0,1
16,20262265,evidence_role,Evidence + role,500,0.551874,0.034675,0.003039,0.550830,0.494015,0.606789,0.625689,0.061944,0.005430,0.629160,0.517192,0.721101,0.011620,0.025271,0.002215,0.000000,0.000000,0.073017,0.710000,0.454216,0.039814,1,0,1,0.904000,0.294886,0.025848,1,0,1
16,20262265,evidence_critique,Evidence + critique,500,0.536617,0.035290,0.003093,0.537093,0.479380,0.597813,0.626439,0.062456,0.005475,0.628996,0.524732,0.721955,0.010870,0.025213,0.002210,0.000000,0.000000,0.073946,0.742000,0.437972,0.038390,1,0,1,0.920000,0.271565,0.023804,1,0,1
16,20262265,full_framework,Full framework,500,0.640185,0.033299,0.002919,0.640896,0.585786,0.697025,0.626461,0.062706,0.005496,0.626357,0.521471,0.724680,0.010848,0.024346,0.002134,0.000000,0.000000,0.068763,0.736000,0.441241,0.038676,1,0,1,0.928000,0.258747,0.022680,1,0,1
17,20262302,direct_llm,Direct-generation proxy,500,0.384964,0.034287,0.003005,0.381514,0.330607,0.445046,0.620065,0.064987,0.005696,0.621915,0.506967,0.720671,0.012040,0.026481,0.002321,0.000000,0.000000,0.065011,0.680000,0.466943,0.040929,1,0,1,0.896000,0.305566,0.026784,1,0,1
17,20262302,evidence_only,Evidence only,500,0.483148,0.037876,0.003320,0.482594,0.424893,0.546715,0.618650,0.065220,0.005717,0.619034,0.501718,0.726862,0.013455,0.027113,0.002377,0.000000,0.000000,0.069060,0.668000,0.471403,0.041320,1,0,1,0.888000,0.315682,0.027671,1,0,1
17,20262302,evidence_role,Evidence + role,500,0.551138,0.036619,0.003210,0.549309,0.491490,0.617900,0.619183,0.064320,0.005638,0.621479,0.513388,0.723686,0.012922,0.026364,0.002311,0.000000,0.000000,0.076547,0.672000,0.469955,0.041193,1,0,1,0.906000,0.292121,0.025606,1,0,1
17,20262302,evidence_critique,Evidence + critique,500,0.533236,0.033937,0.002975,0.533202,0.478700,0.589423,0.621016,0.063238,0.005543,0.621915,0.512059,0.720484,0.011089,0.025157,0.002205,0.000000,0.000000,0.072530,0.714000,0.452342,0.039650,1,0,1,0.902000,0.297612,0.026087,1,0,1
17,20262302,full_framework,Full framework,500,0.639122,0.032741,0.002870,0.638154,0.586372,0.692662,0.623997,0.063213,0.005541,0.628822,0.515903,0.726862,0.008108,0.019012,0.001666,0.000000,0.000000,0.049815,0.726000,0.446456,0.039134,1,0,1,0.940000,0.237725,0.020837,1,0,1
18,20262339,direct_llm,Direct-generation proxy,500,0.385189,0.035149,0.003081,0.384359,0.329851,0.443534,0.624089,0.067315,0.005900,0.629635,0.509321,0.733777,0.012194,0.025228,0.002211,0.000000,0.000000,0.065722,0.676000,0.468469,0.041063,1,0,1,0.922000,0.268440,0.023530,1,0,1
