scenario_id,profile,complexity,uncertainty,time_pressure,n_claims,n_coas
175,humanitarian_c2,3,0.461604,0.394380,47,3
176,anti_uav,4,0.857538,0.555654,50,4
177,anti_uav,7,0.791815,0.221789,70,4
178,humanitarian_c2,5,0.699418,0.463057,57,5
179,anti_uav,4,0.871412,0.266719,42,3
180,humanitarian_c2,5,0.364060,0.691030,54,5
181,humanitarian_c2,6,0.451029,0.717783,61,5
182,humanitarian_c2,5,0.709786,0.700526,49,5
183,humanitarian_c2,4,0.726628,0.407941,47,3
184,anti_uav,7,0.420798,0.642948,68,3
185,anti_uav,9,0.875908,0.224248,75,5
186,conflict_event,9,0.412409,0.383976,73,4
187,anti_uav,9,0.412854,0.366270,82,5
188,anti_uav,9,0.640831,0.783894,72,3
189,anti_uav,9,0.426444,0.577795,76,3
190,humanitarian_c2,3,0.790395,0.719066,44,4
191,conflict_event,6,0.524781,0.660708,55,3
192,conflict_event,7,0.807356,0.555949,71,5
193,anti_uav,6,0.661784,0.348520,54,5
194,anti_uav,5,0.659219,0.616916,59,5
195,humanitarian_c2,4,0.467209,0.539263,51,3
196,humanitarian_c2,5,0.376910,0.333732,49,3
197,conflict_event,9,0.517278,0.803578,77,5
198,anti_uav,7,0.790195,0.521390,62,3
199,conflict_event,6,0.712251,0.543983,57,3
200,conflict_event,6,0.594792,0.325595,65,4
201,anti_uav,4,0.787325,0.624775,48,4
202,anti_uav,9,0.486145,0.368494,78,5
203,anti_uav,7,0.470297,0.454573,65,4
204,anti_uav,8,0.626284,0.432039,68,3
205,humanitarian_c2,8,0.822611,0.544872,70,4
206,conflict_event,9,0.945977,0.294173,75,4
207,conflict_event,6,0.688135,0.531511,63,3
208,anti_uav,8,0.391283,0.818589,72,4
209,humanitarian_c2,6,0.647321,0.806489,65,3
210,anti_uav,9,0.629819,0.595545,76,5
211,humanitarian_c2,4,0.357423,0.305313,42,3
212,conflict_event,6,0.793785,0.225346,64,5
213,conflict_event,8,0.739551,0.505151,73,5
214,conflict_event,9,0.779493,0.687095,83,5
215,conflict_event,8,0.616709,0.720394,71,3
216,anti_uav,5,0.714182,0.412223,53,3
217,humanitarian_c2,3,0.366392,0.236063,40,4
218,humanitarian_c2,3,0.498584,0.515642,44,3
219,humanitarian_c2,3,0.746191,0.630726,44,3
220,humanitarian_c2,5,0.695369,0.803992,58,3
221,anti_uav,9,0.587197,0.522697,72,5
222,humanitarian_c2,6,0.408875,0.320528,56,4
223,humanitarian_c2,3,0.417382,0.748299,42,5
224,anti_uav,8,0.360051,0.650969,75,4
225,anti_uav,9,0.865233,0.307636,77,4
226,humanitarian_c2,3,0.597980,0.294655,39,4
227,anti_uav,8,0.549405,0.516193,76,5
228,humanitarian_c2,6,0.534221,0.613400,61,3
229,anti_uav,4,0.571874,0.499796,45,5
230,conflict_event,9,0.520808,0.630314,82,5
231,humanitarian_c2,6,0.689795,0.677724,54,3
232,conflict_event,4,0.757203,0.399735,52,3
233,conflict_event,9,0.681632,0.300629,82,5
234,anti_uav,8,0.556562,0.748950,74,4
235,anti_uav,6,0.773992,0.631702,58,3
236,conflict_event,9,0.653591,0.590019,80,4
237,humanitarian_c2,5,0.295954,0.385151,50,3
238,conflict_event,6,0.553562,0.278627,62,3
239,conflict_event,4,0.623635,0.599780,44,3
240,anti_uav,8,0.752183,0.637161,76,5
241,anti_uav,8,0.804426,0.367387,70,4
242,conflict_event,9,0.496237,0.221875,75,5
243,anti_uav,8,0.879658,0.510095,68,3
244,anti_uav,4,0.892194,0.366949,44,3
245,humanitarian_c2,5,0.318008,0.759176,55,4
246,humanitarian_c2,5,0.425173,0.641984,48,5
247,conflict_event,6,0.942661,0.343106,61,5
248,anti_uav,4,0.475616,0.557160,45,3
249,anti_uav,9,0.813911,0.601099,78,5
250,anti_uav,8,0.422328,0.292196,70,4
251,conflict_event,9,0.949747,0.236358,74,3
252,humanitarian_c2,3,0.346663,0.306714,40,4
253,conflict_event,6,0.792938,0.267898,63,3
254,conflict_event,9,0.503247,0.725921,78,3
255,humanitarian_c2,6,0.305186,0.678569,57,5
256,humanitarian_c2,7,0.808807,0.717015,71,5
257,anti_uav,8,0.867653,0.394708,67,5
258,anti_uav,6,0.852570,0.363822,58,4
259,humanitarian_c2,8,0.487118,0.643284,75,3
260,conflict_event,7,0.783850,0.694898,61,4
261,conflict_event,6,0.406685,0.737721,55,5
262,conflict_event,4,0.647505,0.782890,46,3
263,conflict_event,7,0.708889,0.465095,64,5
264,conflict_event,5,0.541761,0.409414,56,3
265,anti_uav,9,0.712615,0.379833,76,4
266,humanitarian_c2,7,0.454982,0.238651,60,3
267,humanitarian_c2,5,0.799523,0.283387,51,5
268,humanitarian_c2,7,0.353196,0.816578,65,5
269,anti_uav,8,0.641825,0.209898,71,4
270,humanitarian_c2,6,0.687376,0.653419,58,3
271,humanitarian_c2,3,0.558612,0.812184,47,5
272,conflict_event,5,0.894275,0.666179,49,3
273,conflict_event,9,0.571752,0.725696,81,3
274,anti_uav,4,0.594696,0.719933,47,3
275,anti_uav,7,0.372675,0.379982,70,4
276,conflict_event,8,0.436109,0.573064,74,5
277,humanitarian_c2,7,0.436070,0.213251,61,5
278,conflict_event,5,0.861415,0.621337,59,5
279,humanitarian_c2,7,0.596861,0.743513,66,4
280,conflict_event,6,0.697529,0.234467,64,4
281,anti_uav,6,0.732021,0.521243,63,3
282,anti_uav,9,0.558186,0.682842,83,5
283,humanitarian_c2,4,0.479577,0.601627,49,4
284,conflict_event,7,0.766063,0.211020,61,5
285,anti_uav,9,0.503814,0.599068,82,3
286,humanitarian_c2,4,0.296179,0.318756,43,3
287,anti_uav,7,0.473228,0.204671,68,4
288,humanitarian_c2,3,0.695545,0.517143,39,5
289,anti_uav,9,0.448837,0.458819,75,4
290,humanitarian_c2,3,0.573027,0.533257,44,3
291,humanitarian_c2,7,0.554702,0.689051,68,5
292,anti_uav,7,0.397839,0.552121,68,3
293,conflict_event,7,0.678109,0.460216,62,5
294,humanitarian_c2,3,0.284027,0.750913,45,3
295,humanitarian_c2,7,0.754326,0.783869,65,3
296,anti_uav,9,0.792754,0.392918,76,4
297,conflict_event,8,0.424746,0.787430,75,5
298,conflict_event,4,0.771497,0.388258,42,5
299,conflict_event,5,0.692462,0.490691,57,5
300,humanitarian_c2,6,0.526217,0.210813,61,4
301,conflict_event,6,0.828638,0.236110,65,4
302,conflict_event,9,0.697258,0.223910,83,4
303,anti_uav,9,0.365256,0.326253,82,4
304,conflict_event,8,0.486688,0.761230,73,5
305,anti_uav,8,0.481476,0.813810,67,4
306,humanitarian_c2,4,0.411001,0.526703,51,5
307,humanitarian_c2,8,0.395869,0.311093,66,3
308,anti_uav,8,0.451451,0.360855,68,4
309,conflict_event,7,0.685213,0.311039,62,4
310,conflict_event,5,0.807013,0.608094,53,4
311,humanitarian_c2,4,0.563372,0.392479,50,4
312,conflict_event,4,0.409190,0.681084,48,3
313,humanitarian_c2,7,0.550643,0.812093,62,3
314,anti_uav,7,0.762323,0.811263,70,4
315,humanitarian_c2,7,0.575344,0.607657,62,5
316,conflict_event,5,0.750273,0.676524,55,5
317,humanitarian_c2,5,0.649897,0.455971,53,3
318,humanitarian_c2,8,0.791122,0.533899,72,5
319,conflict_event,6,0.527278,0.239009,60,5
320,conflict_event,4,0.917074,0.350518,43,5
321,humanitarian_c2,4,0.647892,0.433020,47,4
322,conflict_event,9,0.526713,0.814886,75,5
323,anti_uav,8,0.825273,0.538494,74,4
324,conflict_event,5,0.472434,0.663688,54,4
325,humanitarian_c2,3,0.348199,0.445241,41,5
326,conflict_event,7,0.580969,0.749835,63,5
327,anti_uav,4,0.397295,0.667194,53,3
328,humanitarian_c2,5,0.809563,0.806549,50,3
329,conflict_event,9,0.616148,0.535306,75,3
330,anti_uav,6,0.511296,0.618857,56,3
331,anti_uav,9,0.413444,0.617877,81,3
332,anti_uav,6,0.851682,0.476227,58,4
333,anti_uav,4,0.571753,0.708376,48,3
334,conflict_event,7,0.863347,0.613057,67,4
335,humanitarian_c2,6,0.406963,0.788089,57,5
336,anti_uav,5,0.436509,0.358292,50,3
337,conflict_event,8,0.858840,0.565777,67,5
338,conflict_event,4,0.946833,0.640640,46,3
339,conflict_event,7,0.621646,0.450869,69,4
340,conflict_event,9,0.697813,0.757416,82,4
341,anti_uav,9,0.752151,0.774295,78,5
342,conflict_event,4,0.825007,0.762874,52,3
343,conflict_event,4,0.745457,0.465157,46,4
344,anti_uav,7,0.548403,0.493834,63,3
345,humanitarian_c2,5,0.368918,0.376203,55,4
346,humanitarian_c2,8,0.397585,0.650438,68,5
347,anti_uav,9,0.461017,0.607173,77,4
348,humanitarian_c2,6,0.659256,0.488136,58,5
349,anti_uav,6,0.528623,0.636471,65,5
350,anti_uav,4,0.587179,0.299854,48,5
351,anti_uav,6,0.429119,0.349794,65,3
352,anti_uav,4,0.462076,0.507390,43,4
353,conflict_event,8,0.599667,0.417373,74,3
354,conflict_event,5,0.948494,0.309391,52,4
355,humanitarian_c2,3,0.514581,0.372349,42,3
356,conflict_event,4,0.899773,0.288357,52,4
357,anti_uav,6,0.644629,0.598423,57,5
358,conflict_event,4,0.485108,0.455770,50,4
359,humanitarian_c2,8,0.562644,0.271499,68,4
360,conflict_event,7,0.620347,0.396349,69,5
361,anti_uav,9,0.609028,0.331539,76,3
362,humanitarian_c2,3,0.452276,0.230199,39,3
363,anti_uav,5,0.909090,0.628919,55,5
364,humanitarian_c2,7,0.527760,0.803492,71,3
365,anti_uav,4,0.781585,0.546543,47,5
366,anti_uav,4,0.588156,0.577202,43,5
367,conflict_event,7,0.595751,0.404200,61,3
368,anti_uav,5,0.878538,0.328763,53,4
369,conflict_event,7,0.715436,0.253482,60,5
370,conflict_event,9,0.466684,0.306148,81,3
371,humanitarian_c2,4,0.596424,0.449403,43,4
372,conflict_event,8,0.656492,0.677531,71,5
373,anti_uav,7,0.622893,0.685715,61,4
374,conflict_event,8,0.687446,0.536072,75,5
375,anti_uav,8,0.488533,0.378849,67,5
376,conflict_event,5,0.562644,0.532087,52,4
377,humanitarian_c2,8,0.736002,0.766545,70,4
378,conflict_event,9,0.445265,0.274760,79,5
379,conflict_event,9,0.793358,0.709298,77,4
380,conflict_event,6,0.546534,0.454791,64,4
381,humanitarian_c2,3,0.280390,0.578462,36,4
382,humanitarian_c2,5,0.421141,0.399250,59,3
383,conflict_event,8,0.817277,0.287929,76,3
384,anti_uav,6,0.482516,0.493898,57,4
385,conflict_event,4,0.893566,0.762614,44,4
386,anti_uav,8,0.684526,0.795568,73,3
387,conflict_event,5,0.464255,0.249110,51,4
388,conflict_event,6,0.563648,0.251816,65,4
389,humanitarian_c2,3,0.722656,0.386295,42,5
390,anti_uav,6,0.455393,0.692042,65,4
391,humanitarian_c2,7,0.399809,0.499908,70,5
392,anti_uav,8,0.415283,0.446518,66,4
393,humanitarian_c2,8,0.644690,0.236350,75,4
394,humanitarian_c2,6,0.770379,0.520596,56,5
395,humanitarian_c2,4,0.678848,0.682555,50,3
396,humanitarian_c2,6,0.423520,0.238833,65,4
397,humanitarian_c2,4,0.771414,0.470894,52,5
398,conflict_event,8,0.626566,0.443419,74,5
399,anti_uav,4,0.856743,0.590909,49,5
400,conflict_event,5,0.721748,0.739741,56,3
401,anti_uav,7,0.901991,0.597805,64,5
402,anti_uav,8,0.397588,0.202823,71,3
403,humanitarian_c2,8,0.768021,0.648756,76,3
404,anti_uav,6,0.804228,0.334310,59,5
405,anti_uav,6,0.681403,0.484030,63,3
406,anti_uav,9,0.413622,0.628000,78,5
407,conflict_event,8,0.924941,0.377226,74,3
408,humanitarian_c2,7,0.644033,0.383369,67,5
409,conflict_event,9,0.416745,0.249039,80,3
410,humanitarian_c2,5,0.337547,0.263041,53,5
411,anti_uav,5,0.868067,0.237715,49,5
412,anti_uav,9,0.370734,0.320162,75,3
413,conflict_event,7,0.562771,0.677053,65,5
414,conflict_event,5,0.606830,0.691691,59,3
415,anti_uav,6,0.405031,0.671444,55,4
416,anti_uav,7,0.907597,0.466559,60,3
417,conflict_event,5,0.790718,0.550931,55,5
418,humanitarian_c2,5,0.475813,0.436168,51,3
419,humanitarian_c2,7,0.477169,0.714481,71,5
420,conflict_event,4,0.471961,0.595989,53,5
421,conflict_event,9,0.508350,0.495244,82,5
422,humanitarian_c2,4,0.347574,0.410122,50,4
423,humanitarian_c2,6,0.291603,0.795912,62,3
424,humanitarian_c2,3,0.290011,0.687162,43,4
425,humanitarian_c2,8,0.413929,0.298132,75,5
426,anti_uav,9,0.545243,0.482829,73,3
427,humanitarian_c2,5,0.470738,0.449492,53,3
428,anti_uav,8,0.396015,0.759997,66,3
429,humanitarian_c2,4,0.666790,0.369816,45,5
430,conflict_event,6,0.917496,0.548156,65,4
431,anti_uav,5,0.684938,0.423976,53,3
432,conflict_event,6,0.702209,0.460966,57,4
433,anti_uav,6,0.677623,0.232743,64,4
434,conflict_event,9,0.586263,0.537390,73,3
435,anti_uav,6,0.790580,0.230359,65,3
436,conflict_event,8,0.562821,0.206099,67,5
437,conflict_event,7,0.524619,0.735212,64,3
438,humanitarian_c2,5,0.624326,0.616321,57,5
439,anti_uav,6,0.703753,0.218092,60,4
440,conflict_event,4,0.621140,0.553053,43,3
441,humanitarian_c2,4,0.718194,0.628634,43,3
442,anti_uav,7,0.395250,0.405599,69,4
443,humanitarian_c2,4,0.324643,0.273051,52,3
444,conflict_event,8,0.672225,0.756871,68,5
445,conflict_event,8,0.825100,0.504141,69,3
446,conflict_event,4,0.490156,0.290824,52,4
447,humanitarian_c2,3,0.333633,0.815306,43,5
448,anti_uav,6,0.426609,0.469759,65,5
449,anti_uav,9,0.623456,0.332312,75,3
450,conflict_event,9,0.512018,0.508329,76,4
451,humanitarian_c2,4,0.561270,0.726837,43,4
452,humanitarian_c2,3,0.806101,0.239576,37,5
453,anti_uav,5,0.889203,0.401290,58,4
454,anti_uav,5,0.468453,0.334406,53,4
455,humanitarian_c2,8,0.633467,0.294405,76,4
456,conflict_event,7,0.465841,0.235083,64,4
457,conflict_event,9,0.792841,0.354267,83,3
458,conflict_event,4,0.742214,0.292517,47,4
459,humanitarian_c2,4,0.472487,0.258077,49,4
460,conflict_event,7,0.573537,0.458046,69,5
461,anti_uav,4,0.621228,0.313576,44,5
462,humanitarian_c2,5,0.572196,0.574077,48,3
463,humanitarian_c2,3,0.321987,0.334325,45,3
464,anti_uav,5,0.379047,0.701267,48,4
465,anti_uav,4,0.608243,0.480209,45,3
466,conflict_event,9,0.555776,0.628069,80,5
467,conflict_event,5,0.756988,0.495063,49,4
468,conflict_event,4,0.624907,0.232599,48,3
469,anti_uav,5,0.833252,0.465709,49,4
470,anti_uav,8,0.876860,0.600446,75,3
471,conflict_event,5,0.943995,0.745606,52,5
472,humanitarian_c2,4,0.668380,0.300774,42,4
473,conflict_event,6,0.463436,0.789968,65,3
474,humanitarian_c2,7,0.576328,0.287130,60,3
475,anti_uav,4,0.779234,0.374058,48,3
476,anti_uav,8,0.771145,0.292482,74,4
477,humanitarian_c2,6,0.493286,0.596447,61,4
478,humanitarian_c2,6,0.656019,0.585156,64,3
479,conflict_event,7,0.601283,0.467801,69,3
480,conflict_event,7,0.856303,0.475632,63,5
481,conflict_event,4,0.475527,0.637544,42,5
482,conflict_event,8,0.851837,0.725820,71,5
483,anti_uav,5,0.733333,0.248055,56,5
484,conflict_event,9,0.489742,0.791803,79,4
485,anti_uav,5,0.783522,0.407061,52,3
486,anti_uav,4,0.496536,0.753705,48,5
487,humanitarian_c2,7,0.521140,0.776323,71,5
488,anti_uav,9,0.715244,0.322781,78,4
489,conflict_event,6,0.433726,0.692285,62,3
490,humanitarian_c2,5,0.504179,0.239691,52,4
491,conflict_event,9,0.773097,0.567697,82,3
492,anti_uav,9,0.859717,0.732621,74,4
493,humanitarian_c2,8,0.570467,0.358368,76,4
494,humanitarian_c2,6,0.331174,0.799200,63,4
495,humanitarian_c2,5,0.673419,0.559417,57,3
496,conflict_event,7,0.526211,0.201136,70,4
497,conflict_event,6,0.941144,0.296202,58,3
498,conflict_event,9,0.698563,0.598817,79,4
499,anti_uav,8,0.569164,0.486262,67,5
500,conflict_event,7,0.772174,0.345267,60,5
501,humanitarian_c2,8,0.500351,0.709545,72,4
502,anti_uav,5,0.513162,0.276733,52,5
503,humanitarian_c2,7,0.484308,0.206684,71,5
504,anti_uav,4,0.360938,0.390932,53,3
505,anti_uav,4,0.610916,0.521342,43,4
506,humanitarian_c2,4,0.517207,0.472842,50,3
507,humanitarian_c2,3,0.472861,0.804037,45,4
508,anti_uav,5,0.791654,0.767728,48,5
509,humanitarian_c2,8,0.504806,0.806439,66,4
510,conflict_event,7,0.816689,0.750157,67,3
511,anti_uav,8,0.888876,0.339320,69,4
512,conflict_event,7,0.862896,0.563036,68,5
513,anti_uav,9,0.727241,0.763295,75,3
514,humanitarian_c2,4,0.516399,0.335055,50,4
515,humanitarian_c2,5,0.549110,0.578015,53,3
516,conflict_event,4,0.534539,0.342459,43,5
517,conflict_event,4,0.678320,0.724581,45,3
518,anti_uav,4,0.480215,0.516451,48,4
519,conflict_event,8,0.640368,0.766925,77,3
520,conflict_event,9,0.652840,0.569483,73,4
521,humanitarian_c2,6,0.740420,0.631604,61,5
522,anti_uav,9,0.360199,0.632484,82,5
523,humanitarian_c2,6,0.547913,0.300299,58,5
524,conflict_event,7,0.803960,0.440105,68,5
525,anti_uav,7,0.670415,0.279096,70,5
526,humanitarian_c2,6,0.425641,0.602864,62,5
527,humanitarian_c2,6,0.781249,0.412919,64,5
528,conflict_event,9,0.581457,0.741118,82,5
529,humanitarian_c2,5,0.807320,0.263495,50,4
530,anti_uav,4,0.615333,0.287067,51,4
531,humanitarian_c2,5,0.372116,0.308241,59,3
532,conflict_event,7,0.475277,0.356468,70,4
533,humanitarian_c2,6,0.828670,0.443829,62,4
534,anti_uav,7,0.802899,0.673047,61,3
535,humanitarian_c2,6,0.602601,0.356630,65,3
536,anti_uav,8,0.480312,0.224498,75,3
537,anti_uav,5,0.839834,0.465764,49,5
538,conflict_event,7,0.799362,0.599328,65,4
539,conflict_event,8,0.547660,0.573472,72,4
540,humanitarian_c2,5,0.700122,0.756466,51,4
541,humanitarian_c2,4,0.496551,0.551048,44,5
542,conflict_event,6,0.934945,0.748185,59,3
543,humanitarian_c2,7,0.423693,0.487591,62,5
544,anti_uav,4,0.861080,0.428704,44,5
545,conflict_event,8,0.880219,0.588811,67,3
546,conflict_event,6,0.575109,0.233609,60,4
547,anti_uav,7,0.519147,0.309389,70,3
548,humanitarian_c2,3,0.289189,0.261862,38,5
549,humanitarian_c2,7,0.412735,0.223153,68,4
550,conflict_event,6,0.459982,0.469216,54,3
551,anti_uav,4,0.746117,0.401621,48,5
552,anti_uav,4,0.468457,0.792011,50,4
553,humanitarian_c2,5,0.565895,0.559547,57,3
554,humanitarian_c2,4,0.480366,0.576401,50,5
555,anti_uav,5,0.611806,0.760426,59,5
556,humanitarian_c2,8,0.630920,0.509363,76,3
557,conflict_event,9,0.506435,0.444390,72,3
