evidence,role,flow,critique,gate,policy,policy_label,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_controllability_mean,selected_controllability_sd,selected_controllability_ci95,selected_controllability_median,selected_controllability_q05,selected_controllability_q95,selected_traceability_mean,selected_traceability_sd,selected_traceability_ci95,selected_traceability_median,selected_traceability_q05,selected_traceability_q95
1,0,0,0,1,f10001,f10001,2000,0.552677,0.036107,0.001582,0.551651,0.494302,0.613088,0.499222,0.013925,0.000610,0.501231,0.464278,0.516388,0.691853,0.090607,0.003971,0.690769,0.543000,0.839048
0,1,0,0,1,f01001,f01001,2000,0.498791,0.035774,0.001568,0.495899,0.443634,0.560068,0.710201,0.013605,0.000596,0.712271,0.676610,0.726970,0.330054,0.096714,0.004239,0.325217,0.186364,0.499310
1,1,0,0,1,f11001,f11001,2000,0.595026,0.035133,0.001540,0.594001,0.538864,0.656434,0.710381,0.013866,0.000608,0.712507,0.675328,0.727165,0.692577,0.089530,0.003924,0.693600,0.543000,0.846154
0,0,1,0,1,f00101,f00101,2000,0.473730,0.034874,0.001528,0.472663,0.416314,0.532785,0.587151,0.014080,0.000617,0.589355,0.552327,0.604334,0.329137,0.096419,0.004226,0.325556,0.180000,0.491250
1,0,1,0,1,f10101,f10101,2000,0.570677,0.035635,0.001562,0.569577,0.514075,0.631740,0.587179,0.013731,0.000602,0.589439,0.553627,0.604071,0.694565,0.088440,0.003876,0.693000,0.546154,0.836522
0,1,1,0,1,f01101,f01101,2000,0.515819,0.036065,0.001581,0.515540,0.457372,0.574117,0.798287,0.013973,0.000612,0.800391,0.763434,0.815826,0.328917,0.100069,0.004386,0.325556,0.178750,0.506316
1,1,1,0,1,f11101,f11101,2000,0.612329,0.036330,0.001592,0.612797,0.552479,0.670876,0.798155,0.013890,0.000609,0.800019,0.763558,0.815549,0.692819,0.090319,0.003958,0.693750,0.543529,0.837143
0,0,0,1,1,f00011,f00011,2000,0.482098,0.034031,0.001491,0.482551,0.426241,0.540765,0.499203,0.014206,0.000623,0.501146,0.464271,0.516997,0.327379,0.096545,0.004231,0.326154,0.174667,0.498462
1,0,0,1,1,f10011,f10011,2000,0.571578,0.033110,0.001451,0.571904,0.517095,0.624699,0.499558,0.013842,0.000607,0.501685,0.466601,0.517220,0.688986,0.089151,0.003907,0.689565,0.545833,0.836000
0,1,0,1,1,f01011,f01011,2000,0.524363,0.034470,0.001511,0.523511,0.470839,0.582854,0.710399,0.013683,0.000600,0.712429,0.675678,0.727062,0.328357,0.099165,0.004346,0.320541,0.180000,0.500000
1,1,0,1,1,f11011,f11011,2000,0.613270,0.032896,0.001442,0.612499,0.558971,0.666686,0.710211,0.013990,0.000613,0.712352,0.676135,0.727557,0.688302,0.091286,0.004001,0.687143,0.541000,0.842500
0,0,1,1,1,f00111,f00111,2000,0.500073,0.034182,0.001498,0.499953,0.444951,0.557506,0.587516,0.014015,0.000614,0.589878,0.551125,0.604421,0.328215,0.098184,0.004303,0.326154,0.172381,0.500000
1,0,1,1,1,f10111,f10111,2000,0.589945,0.032563,0.001427,0.589641,0.537768,0.644015,0.587215,0.013981,0.000613,0.589412,0.554516,0.605180,0.691529,0.088143,0.003863,0.690769,0.547857,0.840000
0,1,1,1,1,f01111,f01111,2000,0.542986,0.034615,0.001517,0.541699,0.487686,0.602213,0.798436,0.013776,0.000604,0.800469,0.763295,0.815502,0.330182,0.100162,0.004390,0.325806,0.181000,0.509231
1,1,1,1,1,f11111,f11111,2000,0.632191,0.032903,0.001442,0.631542,0.579330,0.685740,0.798267,0.013684,0.000600,0.800345,0.765280,0.815704,0.691707,0.089058,0.003903,0.693103,0.545833,0.840000
