evidence,role,flow,critique,gate,policy,policy_label,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_controllability_mean,selected_controllability_sd,selected_controllability_ci95,selected_controllability_median,selected_controllability_q05,selected_controllability_q95,selected_traceability_mean,selected_traceability_sd,selected_traceability_ci95,selected_traceability_median,selected_traceability_q05,selected_traceability_q95
1,0,0,0,1,f10001,f10001,2000,0.561172,0.036006,0.001578,0.560921,0.502945,0.622280,0.541697,0.020902,0.000916,0.538361,0.511558,0.572934,0.691853,0.090607,0.003971,0.690769,0.543000,0.839048
0,1,0,0,1,f01001,f01001,2000,0.507289,0.035701,0.001565,0.504800,0.451698,0.569483,0.752676,0.020785,0.000911,0.748309,0.722978,0.783668,0.330026,0.096724,0.004239,0.325217,0.186364,0.499310
1,1,0,0,1,f11001,f11001,2000,0.603521,0.035023,0.001535,0.602119,0.548110,0.663388,0.752856,0.021003,0.000920,0.748653,0.722626,0.783907,0.692577,0.089530,0.003924,0.693600,0.543000,0.846154
0,0,1,0,1,f00101,f00101,2000,0.482227,0.034732,0.001522,0.480601,0.425976,0.540451,0.629626,0.020824,0.000913,0.625841,0.599465,0.660867,0.329137,0.096419,0.004226,0.325556,0.180000,0.491250
1,0,1,0,1,f10101,f10101,2000,0.579172,0.035526,0.001557,0.577322,0.522570,0.641288,0.629654,0.021050,0.000923,0.625821,0.599381,0.660978,0.694565,0.088440,0.003876,0.693000,0.546154,0.836522
0,1,1,0,1,f01101,f01101,2000,0.524316,0.035936,0.001575,0.523920,0.465921,0.583750,0.840762,0.021170,0.000928,0.836395,0.811223,0.872742,0.328917,0.100069,0.004386,0.325556,0.178750,0.506316
1,1,1,0,1,f11101,f11101,2000,0.620824,0.036234,0.001588,0.620748,0.562166,0.679797,0.840630,0.020901,0.000916,0.837503,0.811181,0.871904,0.692819,0.090319,0.003958,0.693750,0.543529,0.837143
0,0,0,1,1,f00011,f00011,2000,0.490824,0.033802,0.001481,0.490796,0.435537,0.548644,0.541678,0.021135,0.000926,0.538562,0.511425,0.573671,0.327500,0.096648,0.004236,0.326154,0.174667,0.498462
1,0,0,1,1,f10011,f10011,2000,0.580221,0.032895,0.001442,0.579555,0.527306,0.635309,0.542033,0.020800,0.000912,0.539401,0.512139,0.573513,0.688887,0.089188,0.003909,0.689565,0.545833,0.836000
0,1,0,1,1,f01011,f01011,2000,0.533083,0.034382,0.001507,0.532266,0.480822,0.591385,0.752874,0.020633,0.000904,0.748873,0.724035,0.783726,0.328440,0.099115,0.004344,0.320541,0.180000,0.500000
1,1,0,1,1,f11011,f11011,2000,0.621917,0.032676,0.001432,0.620120,0.568789,0.674727,0.752686,0.020911,0.000916,0.749019,0.722670,0.784356,0.688139,0.091292,0.004001,0.686923,0.541000,0.842500
0,0,1,1,1,f00111,f00111,2000,0.508786,0.034061,0.001493,0.508755,0.453001,0.565184,0.629991,0.021142,0.000927,0.625558,0.599684,0.661870,0.328046,0.098203,0.004304,0.325806,0.172381,0.500000
1,0,1,1,1,f10111,f10111,2000,0.598590,0.032422,0.001421,0.597898,0.547776,0.651985,0.629690,0.020998,0.000920,0.626736,0.599100,0.660807,0.691413,0.088177,0.003865,0.690769,0.547857,0.840000
0,1,1,1,1,f01111,f01111,2000,0.551706,0.034396,0.001507,0.549968,0.497219,0.611030,0.840911,0.020623,0.000904,0.837568,0.811768,0.872194,0.330078,0.100203,0.004392,0.325806,0.181000,0.509231
1,1,1,1,1,f11111,f11111,2000,0.640846,0.032861,0.001440,0.639896,0.589363,0.696037,0.840742,0.020948,0.000918,0.835797,0.810884,0.872766,0.691595,0.089052,0.003903,0.693103,0.545517,0.838400
